filepath,dominant,all_labels,dominant_clean,coarse_label
data/emotic_faces_128/['Disconnection']/sample_000000_p0.jpg,['Disconnection'],['Disconnection'];['Doubt/Confusion'],Disconnection,neutral
data/emotic_faces_128/['Anticipation']/sample_000001_p0.jpg,['Anticipation'],['Anticipation'],Anticipation,surprised
data/emotic_faces_128/['Engagement']/sample_000002_p0.jpg,['Engagement'],['Engagement'];['Excitement'];['Happiness'],Engagement,happy
data/emotic_faces_128/['Aversion']/sample_000003_p0.jpg,['Aversion'],['Aversion'];['Pleasure'],Aversion,angry
data/emotic_faces_128/['Confidence']/sample_000004_p0.jpg,['Confidence'],['Confidence'];['Excitement'],Confidence,happy
data/emotic_faces_128/['Anticipation']/sample_000005_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'];['Peace'],Anticipation,surprised
data/emotic_faces_128/['Anticipation']/sample_000006_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'],Anticipation,surprised
data/emotic_faces_128/['Anticipation']/sample_000007_p0.jpg,['Anticipation'],['Anticipation'];['Peace'],Anticipation,surprised
data/emotic_faces_128/['Engagement']/sample_000008_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Pain']/sample_000010_p0.jpg,['Pain'],['Pain'];['Sadness'];['Sensitivity'];['Suffering'],Pain,sad
data/emotic_faces_128/['Anticipation']/sample_000011_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'];['Excitement'];['Happiness'],Anticipation,surprised
data/emotic_faces_128/['Engagement']/sample_000012_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000013_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Happiness']/sample_000014_p0.jpg,['Happiness'],['Happiness'],Happiness,happy
data/emotic_faces_128/['Yearning']/sample_000015_p0.jpg,['Yearning'],['Yearning'],Yearning,sad
data/emotic_faces_128/['Confidence']/sample_000016_p0.jpg,['Confidence'],['Confidence'];['Happiness'],Confidence,happy
data/emotic_faces_128/['Happiness']/sample_000018_p0.jpg,['Happiness'],['Happiness'],Happiness,happy
data/emotic_faces_128/['Disquietment']/sample_000019_p0.jpg,['Disquietment'],['Disquietment'],Disquietment,confused
data/emotic_faces_128/['Yearning']/sample_000021_p0.jpg,['Yearning'],['Yearning'],Yearning,sad
data/emotic_faces_128/['Anticipation']/sample_000022_p0.jpg,['Anticipation'],['Anticipation'];['Disquietment'];['Engagement'],Anticipation,surprised
data/emotic_faces_128/['Engagement']/sample_000023_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Happiness']/sample_000024_p0.jpg,['Happiness'],['Happiness'];['Peace'],Happiness,happy
data/emotic_faces_128/['Engagement']/sample_000026_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000027_p0.jpg,['Engagement'],['Engagement'];['Excitement'];['Happiness'],Engagement,happy
data/emotic_faces_128/['Confidence']/sample_000028_p0.jpg,['Confidence'],['Confidence'];['Excitement'],Confidence,happy
data/emotic_faces_128/['Engagement']/sample_000030_p0.jpg,['Engagement'],['Engagement'];['Peace'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000031_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000032_p0.jpg,['Engagement'],['Engagement'];['Happiness'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000033_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Happiness']/sample_000034_p0.jpg,['Happiness'],['Happiness'],Happiness,happy
data/emotic_faces_128/['Engagement']/sample_000036_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000038_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Anticipation']/sample_000039_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'];['Happiness'],Anticipation,surprised
data/emotic_faces_128/['Anticipation']/sample_000041_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'];['Esteem'],Anticipation,surprised
data/emotic_faces_128/['Anticipation']/sample_000042_p0.jpg,['Anticipation'],['Anticipation'],Anticipation,surprised
data/emotic_faces_128/['Affection']/sample_000043_p0.jpg,['Affection'],['Affection'];['Anticipation'];['Engagement'];['Excitement'];['Happiness'];['Pleasure'],Affection,happy
data/emotic_faces_128/['Anticipation']/sample_000044_p0.jpg,['Anticipation'],['Anticipation'],Anticipation,surprised
data/emotic_faces_128/['Disconnection']/sample_000045_p0.jpg,['Disconnection'],['Disconnection'],Disconnection,neutral
data/emotic_faces_128/['Engagement']/sample_000046_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Anger']/sample_000048_p0.jpg,['Anger'],['Anger'];['Aversion'];['Disapproval'],Anger,angry
data/emotic_faces_128/['Anticipation']/sample_000049_p0.jpg,['Anticipation'],['Anticipation'],Anticipation,surprised
data/emotic_faces_128/['Anticipation']/sample_000050_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'];['Happiness'],Anticipation,surprised
data/emotic_faces_128/['Confidence']/sample_000052_p0.jpg,['Confidence'],['Confidence'],Confidence,happy
data/emotic_faces_128/['Yearning']/sample_000053_p0.jpg,['Yearning'],['Yearning'],Yearning,sad
data/emotic_faces_128/['Excitement']/sample_000054_p0.jpg,['Excitement'],['Excitement'],Excitement,happy
data/emotic_faces_128/['Sensitivity']/sample_000055_p0.jpg,['Sensitivity'],['Sensitivity'],Sensitivity,sad
data/emotic_faces_128/['Happiness']/sample_000056_p0.jpg,['Happiness'],['Happiness'];['Peace'],Happiness,happy
data/emotic_faces_128/['Yearning']/sample_000057_p0.jpg,['Yearning'],['Yearning'],Yearning,sad
data/emotic_faces_128/['Anticipation']/sample_000058_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'],Anticipation,surprised
data/emotic_faces_128/['Happiness']/sample_000059_p0.jpg,['Happiness'],['Happiness'],Happiness,happy
data/emotic_faces_128/['Engagement']/sample_000060_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000062_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Engagement']/sample_000064_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Sensitivity']/sample_000065_p0.jpg,['Sensitivity'],['Sensitivity'],Sensitivity,sad
data/emotic_faces_128/['Engagement']/sample_000066_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
data/emotic_faces_128/['Confidence']/sample_000067_p0.jpg,['Confidence'],['Confidence'];['Excitement'],Confidence,happy
data/emotic_faces_128/['Anticipation']/sample_000068_p0.jpg,['Anticipation'],['Anticipation'];['Engagement'],Anticipation,surprised
data/emotic_faces_128/['Excitement']/sample_000069_p0.jpg,['Excitement'],['Excitement'];['Happiness'];['Pleasure'],Excitement,happy
data/emotic_faces_128/['Anticipation']/sample_000070_p0.jpg,['Anticipation'],['Anticipation'];['Doubt/Confusion'];['Engagement'],Anticipation,surprised
data/emotic_faces_128/['Engagement']/sample_000071_p0.jpg,['Engagement'],['Engagement'],Engagement,happy
